number,arity,selectivity,multiplicity,conjunct,disjuncts,length,query,time
"0","1","-","1","3","2-3","2-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname|pname|pname*]->(x2), (x0)-[:pname|pname*]->(x3) RETURN DISTINCT x0 UNION  UNION ;
",-1
"1","2","2","1","3","2-3","2-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname|pname|pname*]->(x2), (x1)-[:pname|pname|pname*]->(x3) RETURN DISTINCT x0, x1 UNION ;
",-1
"2","3","-","0.25","4","1-3","2-4","MATCH (x0)-[:pname]->()<-[:pname]-()-[:pgender]->()<-[:pbrowserUsed]-(x1), (x1)-[:pbrowserUsed*]->(x2), (x0)-[:pisPartOf]->()<-[:pisPartOf]-()-[:pisPartOf]->(x3), (x2)-[:pname]->()<-[:pspeaks]-()-[:pspeaks]->()<-[:pname]-(x4) RETURN DISTINCT x2, x1, x0;
",16.9192445278168
"3","3","-","1","3","1-2","4-4","MATCH (x0)-[:pname*]->(x1), (x0)-[:pname*]->(x2), (x1)-[:pname|pname*]->(x3) RETURN DISTINCT x1, x0, x2;
",6.89508557319641
"4","4","-","0.5","4","3-3","2-4","MATCH (x0)-[:pname|pbrowserUsed|plocationIP*]->(x1), (x1)-[:pname]->()<-[:pname]-()-[:pspeaks]->()<-[:pname]-(x2), (x0)-[:pname|pname|pname*]->(x3), (x3)-[:pname]->()<-[:pname]-(x2) RETURN DISTINCT x0, x2, x3, x1;
",16.7290580272675
"5","4","-","1","3","2-2","2-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname|pname*]->(x2), (x0)-[:pname|pname*]->(x3) RETURN DISTINCT x1, x0, x2, x3;
",7.16237211227417
"6","2","2","0.333333","3","1-3","2-4","MATCH (x0)-[:plength|pcreationDate|plength*]->(x1), (x1)-[:plength]->()<-[:pbrowserUsed]-()-[:pworksAt]->(x2), (x2)<-[:pworksAt]-()-[:pspeaks]->()<-[:pname]-()<-[:pisLocatedIn]-(x3) RETURN DISTINCT x0, x3;
",9.09943556785583
"7","3","-","0.333333","3","1-3","2-4","MATCH (x0)<-[:pworksAt]-()-[:pisLocatedIn]->()<-[:pisLocatedIn]-(x1), (x0)-[:pname*]->(x2), (x2)-[:pisLocatedIn]->()<-[:pisLocatedIn]-(x1) RETURN DISTINCT x0, x2, x1;
",9.39859533309937
"8","3","-","0.333333","3","1-2","2-4","MATCH (x0)-[:pname*]->(x1), (x1)-[:pname]->()<-[:pemail]-()-[:pname]->()<-[:pname]-(x2), (x2)<-[:phasTag]-()-[:phasTag]->(x3) RETURN DISTINCT x0, x1, x2;
",35.1778211593628
"9","1","-","0","3","2-3","3-4","MATCH (x0)<-[:pstudyAt]-()<-[:phasCreator]-()-[:plocationIP]->()<-[:pname]-(x1), (x1)<-[:pisLocatedIn]-()-[:pbrowserUsed]->()<-[:pname]-(x2), (x2)-[:pname]->()<-[:pbrowserUsed]-()-[:pstudyAt]->(x3) RETURN DISTINCT x0;
",7.39938688278198
"10","2","2","0","4","1-2","3-4","MATCH (x0)-[:preplyOf]->()<-[:plikes]-()-[:pstudyAt]->(x1), (x0)-[:pcontent]->()<-[:pspeaks]-()-[:pknows]->()-[:pstudyAt]->(x2), (x0)-[:preplyOf]->()<-[:plikes]-()-[:pstudyAt]->(x3), (x0)-[:preplyOf]->()<-[:plikes]-()-[:pstudyAt]->(x4) RETURN DISTINCT x0, x1;
",5.66288900375366
"11","4","-","0.5","4","1-2","3-4","MATCH (x0)-[:plength|plength*]->(x1), (x1)-[:phasModerator]->()-[:pspeaks]->()<-[:pimageFile]-(x2), (x0)-[:phasMember]->()-[:pbrowserUsed]->()<-[:pimageFile]-(x3), (x3)-[:pimageFile*]->(x2) RETURN DISTINCT x0, x2, x3, x1 UNION  UNION ;
",-1
"12","4","-","1","3","2-3","2-4","MATCH (x0)-[:pname|pname|pname*]->(x1), (x0)-[:pisPartOf|pname*]->(x2), (x1)-[:pisLocatedIn|pname*]->(x3) RETURN DISTINCT x3, x2, x1, x0;
",4.64462065696716
